latitud,longitud,region,periodo,periodo_date
-34.5026932,-58.6464157,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5001032642,-58.7107368472,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4986960462,-58.7097725804,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4850654,-58.505819,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5143324173,-58.6763355501,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5140741549,-58.6698418167,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5111087,-58.4915216,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5098088699,-58.4863491094,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.487396,-58.485603,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5453173298,-58.7022446629,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4600863,-58.5285785,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4468193,-58.6333694,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.458431,-58.5312446,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5309402,-58.7245268,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5469236,-58.7020775,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.525884,-58.474119,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5105525443,-58.4892779007,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4929276658,-58.4846410614,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4270287,-58.7917023,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.509392,-58.478864,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4966361833,-58.4904384613,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5387115,-58.7169536,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5009892815,-58.6428583561,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5467001404,-58.708070281,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.472374,-58.5463906,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5314014,-58.7327283,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4306335,-58.589817,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.40258026,-58.65502548,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4530609,-58.9081728,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.45394897,-58.90888596,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.45394897,-58.90888596,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.426254,-58.5762309,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.426254,-58.5762309,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5198799,-58.4859262,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5060746,-58.4823175,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5060746,-58.4823175,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5665165063,-58.5339869958,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5153072,-58.4764197,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5433807,-58.718174,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5145363287,-58.4902891056,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5335651,-58.4886335,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5431610481,-58.7270497319,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4821939,-58.5042339,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4845853835,-58.5034512507,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5035286,-58.6586456,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5035286,-58.6586456,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.496767,-58.4843315,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5514466,-58.551905,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5068325,-58.4824977,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5367696,-58.5759058,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5521724472,-58.5582100762,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5048599,-58.5356636,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.508722,-58.532627,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.44150543,-58.93061829,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.44150543,-58.93061829,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.508814,-58.483024,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5272714,-58.5462529,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5079461,-58.4782294,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4971313,-58.5369988,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.499621,-58.523932,Capital Federal,01-2015,2015-01-01
-34.5346863,-58.7238098,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4948079,-58.5164546,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4912718,-58.5180148,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5550454169,-58.5530735557,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.39270506,-58.7414312381,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.3926519403,-58.741109373,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.3921590671,-58.6471214211,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5081821331,-58.4821863211,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.4788628,-58.5556565,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5583872,-58.5694056,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5578092,-58.56859,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.593277,-58.5491849,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.582938838,-58.5360847884,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5577872,-58.5454351,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5783413,-58.5463674,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5629523334,-58.5678764688,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5366643562,-58.5710121696,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.577168,-58.538654,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5400898793,-58.5493038931,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5637055,-58.6903973,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5515332075,-58.5514166031,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5509968817,-58.7196640518,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5508669121,-58.7377859915,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5503840811,-58.5546571853,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5770413,-58.5342642,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.43134308,-58.84141922,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5518697158,-58.5648247688,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5504682231,-58.5598325729,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5519395,-58.703878,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5379116,-58.7085742,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.5493327,-58.5545607,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
