latitud,longitud,region,periodo,periodo_date
-34.6998002,-58.6004906,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6849989,-58.5935195,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6417012671,-58.5325627712,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5989417217,-58.5499934165,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6090838,-58.5622302,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5792701,-58.5950293,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5836270496,-58.5859994037,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.7843949,-58.6472726,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6850039553,-58.4899672309,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6554993,-58.6227464,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5629065,-58.6256832,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6853317,-58.5706501,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6138478,-58.5429553,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6051706,-58.5604106,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6138478,-58.5429553,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.638823626,-58.5665321228,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6477788614,-58.6123648074,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6625082,-58.6048382,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5991927,-58.5401199,Bs.As. G.B.A. Zona Norte,01-2015,2015-01-01
-34.598692,-58.5329981,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.5837021303,-58.5861710651,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
-34.6450412,-58.5929291,Bs.As. G.B.A. Zona Oeste,01-2015,2015-01-01
