latitud,longitud,region,periodo,periodo_date
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.7210899749,-58.2660689651,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.9172911,-57.9433249,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.9172911,-57.9433249,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.6904809,-58.3889137,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.9122646555,-57.9611235879,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.7325770896,-58.2975459451,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.9244721259,-57.9629951157,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.92125,-57.9543333,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.827065,-58.446918,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.8173627,-58.4638971,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
-34.9379807,-57.9768296,Bs.As. G.B.A. Zona Sur,01-2015,2015-01-01
