indice_tiempo,indice_salarios,indice_salarios_registrado,indice_salarios_registrado_sector_privado,indice_salarios_registrado_sector_publico,indice_salarios_no_registrado_sector_privado
2015-10-01,,74.44,73.97,75.24,
2015-11-01,,76.07,75.95,76.28,
2015-12-01,,77.29,77.36,77.18,
2016-01-01,,78.38,78.93,77.46,
2016-02-01,,79.42,80.04,78.36,
2016-03-01,,81.92,80.8,83.8,
2016-04-01,,85.3,85.92,84.26,
2016-05-01,,88.13,88.74,87.11,
2016-06-01,,89.83,90.15,89.28,
2016-07-01,,93.84,93.35,94.66,
2016-08-01,,96.42,95.05,98.73,
2016-09-01,,97.69,96.63,99.46,
2016-10-01,100.0,100.0,100.0,100.0,100.0
2016-11-01,101.41,101.58,101.8,101.22,100.73
2016-12-01,102.79,102.69,102.89,102.37,103.2
2017-01-01,104.38,104.98,106.34,102.68,102.0
2017-02-01,105.76,105.97,107.69,103.08,104.94
2017-03-01,108.82,108.5,109.26,107.24,110.08
2017-04-01,112.63,112.14,112.93,110.81,114.61
2017-05-01,114.43,114.09,115.18,112.28,115.79
2017-06-01,116.45,116.51,117.23,115.3,116.24
2017-07-01,121.1,121.19,122.8,118.49,120.74
2017-08-01,123.95,123.43,124.55,121.54,126.06
2017-09-01,125.71,125.21,126.0,123.89,127.7
2017-10-01,127.62,127.4,128.23,126.03,128.5
2017-11-01,129.61,129.03,130.04,127.32,131.95
2017-12-01,131.03,129.86,131.01,127.94,135.71
2018-01-01,132.48,131.46,133.25,128.45,136.57
2018-02-01,133.59,132.44,134.31,129.32,138.19
2018-03-01,136.14,135.01,136.23,132.97,140.7
2018-04-01,139.81,138.77,141.01,135.01,144.0
2018-05-01,141.93,141.74,144.47,137.16,142.73
2018-06-01,143.14,143.67,146.47,138.97,141.02
2018-07-01,146.9,147.36,149.94,143.01,145.09
2018-08-01,151.05,151.61,154.2,147.26,148.81
2018-09-01,155.44,155.8,157.82,152.41,154.02
2018-10-01,161.12,162.24,163.86,159.53,156.63
2018-11-01,165.83,166.05,168.06,162.69,164.93
2018-12-01,169.94,169.29,170.85,166.66,172.61
2019-01-01,175.19,174.7,176.91,170.98,177.16
2019-02-01,179.84,179.37,181.76,175.37,181.72
2019-03-01,186.94,187.04,188.26,184.99,186.59
2019-04-01,191.11,191.67,193.47,188.65,188.85
2019-05-01,196.51,198.51,201.66,193.23,188.44
2019-06-01,200.44,203.34,206.99,197.23,188.78
2019-07-01,209.9,213.49,215.86,209.52,195.49
2019-08-01,215.02,218.63,221.87,213.21,200.52
2019-09-01,220.77,225.13,227.72,220.8,203.25
2019-10-01,227.92,233.0,236.31,227.45,207.5
2019-11-01,233.32,238.57,242.85,231.39,212.21
2019-12-01,239.44,243.4,246.54,238.13,223.54
2020-01-01,253.78,259.01,267.6,244.59,232.76
2020-02-01,263.55,269.36,279.97,251.57,240.22
2020-03-01,271.58,277.31,286.4,262.08,248.53
2020-04-01,272.03,277.45,285.74,263.54,250.23
2020-05-01,271.84,277.54,285.06,264.92,248.98
2020-06-01,273.47,278.62,285.44,267.19,252.74
2020-07-01,278.37,282.07,289.19,270.14,263.49
2020-08-01,283.92,286.56,295.13,272.2,273.32
2020-09-01,291.02,293.84,301.54,280.93,279.69
2020-10-01,302.94,307.22,317.66,289.72,285.74
2020-11-01,312.92,314.4,326.04,294.87,306.96
2020-12-01,318.42,320.32,331.26,301.97,310.78
2021-01-01,328.84,331.43,344.61,309.32,318.42
2021-02-01,343.06,346.94,362.33,321.14,327.43
2021-03-01,360.28,364.98,376.68,345.37,341.36
2021-04-01,371.84,378.18,394.54,350.74,346.34
2021-05-01,382.4,390.6,408.4,360.8,349.5
2021-06-01,391.2,400.5,415.6,375.3,353.5
2021-07-01,410.4,422.4,437.0,397.9,362.0
2021-08-01,410.4,422.4,437.0,397.9,362.0
2021-09-01,423.53999999999996,436.98285714285714,452.10571428571427,411.6042857142857,369.31714285714287
2021-10-01,436.67999999999995,451.5657142857143,467.21142857142854,425.30857142857144,376.63428571428574
