jurisdiccion,periodo,monto
Bs.As. G.B.A. Zona Sur,12-2020,25728.520808561243
Bs.As. G.B.A. Zona Norte,12-2020,38174.598930481283
Bs.As. G.B.A. Zona Oeste,12-2020,19337.136929460579
Capital Federal,12-2020,37366.622956289626
Capital Federal,12-2019,23279.8821192053
Bs.As. G.B.A. Zona Oeste,12-2019,13470.227272727272
Bs.As. G.B.A. Zona Sur,12-2019,14003.24090909091
Bs.As. G.B.A. Zona Norte,12-2019,21159.844752818735
Bs.As. G.B.A. Zona Oeste,12-2018,8765.0724637681124
Bs.As. G.B.A. Zona Sur,12-2018,10142.818671454221
Bs.As. G.B.A. Zona Norte,12-2018,16537.564853556491
Capital Federal,12-2018,17388.995672556804
Bs.As. G.B.A. Zona Sur,12-2017,8293.66028708134
Bs.As. G.B.A. Zona Oeste,12-2017,7195.2054794520536
Capital Federal,12-2017,13898.888291517325
Bs.As. G.B.A. Zona Norte,12-2017,12737.691029900328
Bs.As. G.B.A. Zona Sur,12-2016,6355.922746781117
Bs.As. G.B.A. Zona Norte,12-2016,10786.2480127186
Bs.As. G.B.A. Zona Oeste,12-2016,5414.818181818182
Capital Federal,12-2016,14886.18158953722
Capital Federal,12-2015,8399.368589743588
Bs.As. G.B.A. Zona Norte,12-2015,8447.51712328767
Bs.As. G.B.A. Zona Sur,12-2015,4534.5631067961149
Bs.As. G.B.A. Zona Oeste,12-2015,3963.616071428572
Capital Federal,11-2020,41851.925573587017
Bs.As. G.B.A. Zona Norte,11-2020,46506.236323851212
Bs.As. G.B.A. Zona Sur,11-2020,28837.278723404252
Bs.As. G.B.A. Zona Oeste,11-2020,18922.909698996646
Bs.As. G.B.A. Zona Sur,11-2019,14287.90944123314
Bs.As. G.B.A. Zona Oeste,11-2019,11736.928487690506
Capital Federal,11-2019,22773.241573033712
Bs.As. G.B.A. Zona Norte,11-2019,20499.182076813657
Bs.As. G.B.A. Zona Norte,11-2018,15942.300955414012
Bs.As. G.B.A. Zona Sur,11-2018,10026.845238095237
Bs.As. G.B.A. Zona Oeste,11-2018,8855.1580698835278
Capital Federal,11-2018,17247.797215951843
Bs.As. G.B.A. Zona Norte,11-2017,13848.23011015912
Capital Federal,11-2017,14254.072356215214
Bs.As. G.B.A. Zona Oeste,11-2017,6936.1818181818189
Bs.As. G.B.A. Zona Sur,11-2017,7552.5641711229946
Bs.As. G.B.A. Zona Oeste,11-2016,5194.6699669966993
Bs.As. G.B.A. Zona Sur,11-2016,6428.4574468085111
Bs.As. G.B.A. Zona Norte,11-2016,10315.271659324522
Capital Federal,11-2016,10539.273392577106
Bs.As. G.B.A. Zona Oeste,11-2015,4127.8156996587031
Bs.As. G.B.A. Zona Norte,11-2015,8477.3867647058833
Bs.As. G.B.A. Zona Sur,11-2015,4515.447761194031
Capital Federal,11-2015,8947.8307830783069
Bs.As. G.B.A. Zona Oeste,10-2020,17144.693611473271
Capital Federal,10-2020,35919.8972392638
Bs.As. G.B.A. Zona Norte,10-2020,30263.262476894644
Bs.As. G.B.A. Zona Sur,10-2020,27117.644387317912
Bs.As. G.B.A. Zona Sur,10-2019,12889.012517385256
Bs.As. G.B.A. Zona Norte,10-2019,21306.354545454546
Capital Federal,10-2019,25030.486249999998
Bs.As. G.B.A. Zona Oeste,10-2019,11406.604976671848
Bs.As. G.B.A. Zona Sur,10-2018,10073.431034482761
Capital Federal,10-2018,17329.633230979187
Bs.As. G.B.A. Zona Oeste,10-2018,8808.2255639097748
Bs.As. G.B.A. Zona Norte,10-2018,16357.395471698113
Bs.As. G.B.A. Zona Norte,10-2017,12426.005560704356
Capital Federal,10-2017,14179.920168067229
Bs.As. G.B.A. Zona Oeste,10-2017,6410.7638888888887
Bs.As. G.B.A. Zona Sur,10-2017,7894.7733333333344
Bs.As. G.B.A. Zona Sur,10-2016,6502.9411764705883
Capital Federal,10-2016,10332.232635983262
Bs.As. G.B.A. Zona Norte,10-2016,10186.552748885588
Bs.As. G.B.A. Zona Oeste,10-2016,5318.1338028169021
Capital Federal,10-2015,10914.872568093386
Bs.As. G.B.A. Zona Oeste,10-2015,3946.4419475655432
Bs.As. G.B.A. Zona Norte,10-2015,7644.6054750402582
Bs.As. G.B.A. Zona Sur,10-2015,4851.0204081632655
Bs.As. G.B.A. Zona Norte,09-2021,53785.61872909699
Bs.As. G.B.A. Zona Sur,09-2021,29801.465798045603
Bs.As. G.B.A. Zona Oeste,09-2021,27210.047846889949
Capital Federal,09-2021,49310.30723488603
Capital Federal,09-2020,35648.213141910543
Bs.As. G.B.A. Zona Norte,09-2020,31797.980684811242
Bs.As. G.B.A. Zona Oeste,09-2020,17300.175324675321
Bs.As. G.B.A. Zona Sur,09-2020,28502.606118546839
Bs.As. G.B.A. Zona Oeste,09-2019,11211.479204339965
Bs.As. G.B.A. Zona Norte,09-2019,20968.055555555551
Bs.As. G.B.A. Zona Sur,09-2019,12909.510569105692
Capital Federal,09-2019,23181.225029148856
Bs.As. G.B.A. Zona Norte,09-2018,15885.320064987814
Bs.As. G.B.A. Zona Sur,09-2018,9740.3448275862083
Bs.As. G.B.A. Zona Oeste,09-2018,8488.2464228934823
Capital Federal,09-2018,17176.028002947678
Bs.As. G.B.A. Zona Oeste,09-2017,6420.3504043126686
Bs.As. G.B.A. Zona Norte,09-2017,13212.687224669604
Bs.As. G.B.A. Zona Sur,09-2017,7349.31289640592
Capital Federal,09-2017,13370.820962888669
Capital Federal,09-2016,10010.988074957409
