jurisdiccion,localidad,periodo,monto
Capital Federal,Floresta,12-2020,25434.375000000004
Capital Federal,San Telmo,12-2020,25745.762711864405
Capital Federal,Recoleta,12-2020,50005.241935483871
Bs.As. G.B.A. Zona Sur,Lanús,12-2020,20931.85840707965
Capital Federal,Villa Lugano,12-2020,18500
Capital Federal,San Cristobal,12-2020,22694.871794871797
Bs.As. G.B.A. Zona Oeste,Marcos Paz,12-2020,14075
Capital Federal,Versalles,12-2020,24333.333333333332
Capital Federal,Saavedra,12-2020,31828.571428571428
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,12-2020,13444.444444444443
Capital Federal,Parque Chas,12-2020,19500
Capital Federal,Monte Castro,12-2020,24117.647058823532
Bs.As. G.B.A. Zona Norte,Escobar,12-2020,22400
Capital Federal,Parque Centenario,12-2020,36816.666666666664
Capital Federal,Congreso,12-2020,24168.292682926829
Capital Federal,Villa Urquiza,12-2020,29566.666666666672
Capital Federal,Liniers,12-2020,23333.333333333332
Capital Federal,Once,12-2020,26968.965517241377
Bs.As. G.B.A. Zona Norte,San Isidro,12-2020,42519.767441860473
Capital Federal,Barrio Norte,12-2020,32877.272727272728
Capital Federal,Monserrat,12-2020,28159.459459459453
Bs.As. G.B.A. Zona Norte,San Fernando,12-2020,28500.000000000004
Capital Federal,Villa Crespo,12-2020,29735.106382978724
Bs.As. G.B.A. Zona Sur,Quilmes,12-2020,21503.205128205129
Capital Federal,Paternal,12-2020,25500
Bs.As. G.B.A. Zona Norte,Tigre,12-2020,53573.63636363636
Capital Federal,Villa Devoto,12-2020,28921.62162162162
Capital Federal,Villa General Mitre,12-2020,23500
Bs.As. G.B.A. Zona Sur,Cañuelas,12-2020,15000
Bs.As. G.B.A. Zona Norte,San Miguel,12-2020,19951.933701657457
Capital Federal,Parque Avellaneda,12-2020,23000
Capital Federal,Centro / Microcentro,12-2020,24772.727272727272
Capital Federal,Barracas,12-2020,26416.666666666661
Capital Federal,Puerto Madero,12-2020,119363.01369863014
Capital Federal,Pompeya,12-2020,29500
Capital Federal,Caballito,12-2020,28733.333333333336
Bs.As. G.B.A. Zona Oeste,La Matanza,12-2020,19689.171974522284
Capital Federal,Palermo,12-2020,44077.277477477473
Capital Federal,Retiro,12-2020,50276.744186046504
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2020,21847.101449275364
Capital Federal,Flores,12-2020,33477.066666666673
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2020,19226.562499999996
Capital Federal,Villa Santa Rita,12-2020,26363.636363636364
Capital Federal,Villa del Parque,12-2020,27616.666666666672
Capital Federal,Agronomía,12-2020,27160
Capital Federal,Catalinas,12-2020,35000
Capital Federal,Villa Soldati,12-2020,25000
Capital Federal,Colegiales,12-2020,33348
Capital Federal,Parque Patricios,12-2020,27294.736842105271
Bs.As. G.B.A. Zona Oeste,Moreno,12-2020,17149.999999999996
Capital Federal,Tribunales,12-2020,26892.857142857141
Capital Federal,Nuñez,12-2020,35685.106382978724
Capital Federal,Constitución,12-2020,19625
Capital Federal,Villa Luro,12-2020,28491.666666666668
Capital Federal,Las Cañitas,12-2020,39249.999999999993
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2020,23225
Bs.As. G.B.A. Zona Sur,La Plata,12-2020,32953.374592833869
Bs.As. G.B.A. Zona Norte,Pilar,12-2020,40830.357142857138
Bs.As. G.B.A. Zona Norte,"",12-2020,23142.857142857141
Bs.As. G.B.A. Zona Norte,Vicente López,12-2020,65916.666666666672
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,12-2020,19700
Capital Federal,Coghlan,12-2020,30892.857142857145
Capital Federal,Parque Chacabuco,12-2020,27454.545454545452
Bs.As. G.B.A. Zona Sur,Berazategui,12-2020,28458.333333333332
Bs.As. G.B.A. Zona Oeste,Hurlingham,12-2020,22742.857142857141
Bs.As. G.B.A. Zona Norte,General San Martín,12-2020,21876.404494382019
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2020,25416.666666666664
Capital Federal,Abasto,12-2020,28923.076923076922
Bs.As. G.B.A. Zona Oeste,General Rodríguez,12-2020,18333.333333333332
Capital Federal,Boca,12-2020,19961.538461538461
Capital Federal,San Nicolás,12-2020,25087.931034482757
Capital Federal,Boedo,12-2020,25783.870967741932
Bs.As. G.B.A. Zona Oeste,Morón,12-2020,17626.956521739132
Bs.As. G.B.A. Zona Norte,José C Paz,12-2020,14083.333333333334
Capital Federal,Villa Ortuzar,12-2020,40666.666666666664
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2020,26428.571428571431
Capital Federal,Mataderos,12-2020,23763.636363636364
Capital Federal,Belgrano,12-2020,44371.323529411769
Bs.As. G.B.A. Zona Oeste,Merlo,12-2020,19113.63636363636
Capital Federal,Chacarita,12-2020,37499.999999999993
Capital Federal,"",12-2020,23818.18181818182
Capital Federal,Velez Sarsfield,12-2020,25000
Bs.As. G.B.A. Zona Sur,Florencio Varela,12-2020,22125
Capital Federal,Villa Pueyrredón,12-2020,27037.03703703704
Bs.As. G.B.A. Zona Sur,Almirante Brown,12-2020,21068.18181818182
Capital Federal,Almagro,12-2020,26440.76923076923
Capital Federal,Balvanera,12-2020,26813.235294117647
Capital Federal,Villa Lugano,12-2019,14146.882352941175
Bs.As. G.B.A. Zona Norte,José C Paz,12-2019,8753.8461538461524
Capital Federal,San Cristobal,12-2019,15306.060606060606
Bs.As. G.B.A. Zona Sur,Avellaneda,12-2019,12907.980000000001
Capital Federal,Parque Chas,12-2019,15000
Capital Federal,"",12-2019,13644.516304347828
Capital Federal,Liniers,12-2019,13791.666666666668
Capital Federal,Colegiales,12-2019,24129.787234042553
Capital Federal,Nuñez,12-2019,25622.500000000004
Capital Federal,Recoleta,12-2019,30199.953488372095
Bs.As. G.B.A. Zona Norte,Tigre,12-2019,25887.588652482271
Capital Federal,Villa Luro,12-2019,13428.571428571428
Capital Federal,Barracas,12-2019,16839.130434782612
Bs.As. G.B.A. Zona Sur,Lanús,12-2019,12994.871794871793
Bs.As. G.B.A. Zona Oeste,Marcos Paz,12-2019,11750
Capital Federal,Catalinas,12-2019,666666
Capital Federal,Parque Patricios,12-2019,17162.5
Bs.As. G.B.A. Zona Norte,General San Martín,12-2019,13116.01
Capital Federal,Belgrano,12-2019,32550.22026431718
Capital Federal,Villa Devoto,12-2019,19034.883720930233
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,12-2019,13695.032679738562
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,12-2019,10753.846153846154
Capital Federal,Villa del Parque,12-2019,19124.489795918373
Capital Federal,Mataderos,12-2019,13916.666666666666
Capital Federal,San Nicolás,12-2019,17523.469387755096
Bs.As. G.B.A. Zona Sur,La Plata,12-2019,14013.357400722023
Bs.As. G.B.A. Zona Norte,San Miguel,12-2019,11243.918918918918
Capital Federal,Retiro,12-2019,25121.62162162162
Bs.As. G.B.A. Zona Oeste,Ituzaingó,12-2019,12941.666666666668
Bs.As. G.B.A. Zona Norte,Vicente López,12-2019,25911.184210526317
Capital Federal,Boca,12-2019,13227.272727272728
Capital Federal,Parque Avellaneda,12-2019,15291.666666666668
Capital Federal,Constitución,12-2019,13363.636363636364
Bs.As. G.B.A. Zona Sur,Ezeiza,12-2019,15305.555555555555
Capital Federal,Parque Chacabuco,12-2019,17767.857142857145
